Noun,Domain,Context,nYes,nTotal,PointEst,Lower,Upper
bicycle,legal,full,40,73,0.547945205479452,0.43424321509808306,0.6568534416732852
bicycle,legal,restricted,49,94,0.5212765957446809,0.42145414630705824,0.6194283185315995
bicycle,ordinary,full,38,62,0.6129032258064516,0.48847843539018354,0.7241535483288614
bicycle,ordinary,restricted,42,100,0.42,0.3279838267435473,0.5179351329695703
firearm,legal,full,57,84,0.6785714285714286,0.5727856143388974,0.7687387683701526
firearm,legal,restricted,49,82,0.5975609756097561,0.4893645537689348,0.6970255684378749
firearm,ordinary,full,53,67,0.7910447761194029,0.6792819349311754,0.8712431481097088
firearm,ordinary,restricted,61,88,0.6931818181818182,0.5904384842530462,0.7797646945355182
table,legal,full,62,79,0.7848101265822784,0.682128319163289,0.8610779526794132
table,legal,restricted,44,83,0.5301204819277109,0.42380966445884966,0.6337665217072966
table,ordinary,full,49,70,0.7,0.5845568276122731,0.79463394742362
table,ordinary,restricted,59,97,0.6082474226804123,0.5087606012781543,0.6994870802368467
